meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Swimming Championships (25m) 2016,52.31,07/12/2016,Men 100 Butterfly SCM Male,JAM,Jamaica,"PLASCHKA, Justin",M,12/08/1996,,,1,1,794,Windsor,CAN
13th FINA World Swimming Championships (25m) 2016,56.05,07/12/2016,Men 100 Butterfly SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,2,2,645,Windsor,CAN
12th FINA World Swimming Championships (25m) 2014,56.37,03/12/2014,Men 100 Butterfly SCM Male,JAM,Jamaica,"CAMPBELL, Nico",M,21/06/1997,,,3,3,636,Doha,QAT
11th FINA World Swimming Championships (25m) 2012,56.92,12/12/2012,Men 100 Butterfly SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,4,4,617,Istanbul,TUR
FINA Swimming World Cup 2005-2006,58.31,04/02/2006,Men 100 Butterfly SCM Male,JAM,Jamaica,"FORTE, Travis",M,,,,5,5,,New York,USA
BUCS (25m),59.45,16/11/2019,Men 100 Butterfly SCM Male,JAM,Jamaica,"GUNNING, Luke",M,03/09/1997,,,6,6,528,Sheffield,GBR
FINA Swimming World Cup 2005-2006,01:00.69,03/02/2006,Men 100 Butterfly SCM Male,JAM,Jamaica,"FORTE, Travis",M,,,,7,7,,New York,USA
FINA Swimming World Cup 2004-2005,01:02.09,12/02/2005,Men 100 Butterfly SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,8,8,,New York,USA
