meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Swimming Championships (25m) 2016,55.39,06/12/2016,Men 100 Backstroke SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,1,1,688,Windsor,CAN
11th FINA World Swimming Championships (25m) 2012,55.55,12/12/2012,Men 100 Backstroke SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,2,2,683,Istanbul,TUR
13th FINA World Swimming Championships (25m) 2016,57.51,11/12/2016,Men 100 Backstroke SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,3,3,615,Windsor,CAN
