meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA Swimming World Cup 2018,28.56,06/10/2018,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,1008,Budapest,HUN
FINA/airweave Swimming World Cup 2016,28.64,26/10/2016,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,1016,Tokyo,JPN
FINA/airweave Swimming World Cup 2017,28.84,12/08/2017,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,995,Eindhoven,NED
ISL 2020 Season - Final,28.88,21/11/2020,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,967,Budapest,HUN
FINA/airweave Swimming World Cup 2016,28.91,22/10/2016,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,988,Singapore,SGP
12th FINA World Swimming Championships (25m) 2014,28.91,04/12/2014,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,6,988,Doha,QAT
FINA Swimming World Cup 2018,28.93,17/11/2018,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,970,Singapore,SGP
FINA Swimming World Cup 2013,28.94,06/11/2013,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,985,Singapore,SGP
FINA Swimming World Cup 2018,28.95,11/11/2018,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,968,Tokyo,JPN
FINA/airweave Swimming World Cup 2016,28.98,09/10/2016,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,981,Doha,QAT
12th FINA World Swimming Championships (25m) 2014,28.99,03/12/2014,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,980,Doha,QAT
FINA/airweave Swimming World Cup 2016,29.00,31/08/2016,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,12,979,Berlin,GER
FINA/MASTBANK Swimming World Cup 2014,29.00,02/11/2014,Women 50 Breaststroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,13,979,Singapore,SGP
