meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Swimming Championships (25m) 2016,25.01,08/12/2016,Men 50 Backstroke SCM Male,JAM,Jamaica,"PLASCHKA, Justin",M,12/08/1996,,,1,1,701,Windsor,CAN
11th FINA World Swimming Championships (25m) 2012,25.98,14/12/2012,Men 50 Backstroke SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,2,2,659,Istanbul,TUR
11th FINA World Swimming Championships (25m) 2012,26.25,12/12/2012,Men 50 Backstroke SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,3,3,639,Istanbul,TUR
13th FINA World Swimming Championships (25m) 2016,26.33,08/12/2016,Men 50 Backstroke SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,4,4,601,Windsor,CAN
13th FINA World Swimming Championships (25m) 2016,26.79,06/12/2016,Men 50 Backstroke SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,5,5,570,Windsor,CAN
13th FINA World Swimming Championships (25m) 2016,27.84,11/12/2016,Men 50 Backstroke SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,6,6,508,Windsor,CAN
12th FINA World Swimming Championships (25m) 2014,28.23,05/12/2014,Men 50 Backstroke SCM Male,JAM,Jamaica,"ATKINSON, Jevon",M,03/04/1984,,,7,7,513,Doha,QAT
