meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
20th Central American and Caribbean Games 2006,07:57.76,18/07/2006,Men 4x200 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,1,1,,Cartagena,COL
32nd CCCAN Swimming Championships 2019,08:12.17,01/07/2019,Men 4x200 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,2,2,615,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,08:17.33,22/04/2019,Men 4x200 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,3,3,596,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,08:45.21,22/04/2019,Men 4x200 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,4,4,506,Bridgetown,BAR
